Crop ,Site,Year,Rotation,0,40,80,120,160,200,240,Max N applied,a,b,c,Max N rate ,Max Yield,EONR,YEONR,60,180
corn,Kanawha,2010,SC,107.2,124.96,146.72,160.5,174.81,170.52,174.26,240,104.9,0.65142,-0.0015367,212,173.9,179.4,172.3,,
corn,Kanawha,2011,SC,128.43,149.19,154.42,165.86,169.48,161.99,167.07,240,129.42,0.47897,-0.0015582,153.7,166.2,121.6,164.6,,
corn,Kanawha,2012,SC,112.49,125.21,127.51,132.72,139.67,126.17,141.83,240,113.39,0.26242,-0.0007782,168.6,135.5,104.4,132.3,,
corn,Kanawha,2013,SC,114.86,134.86,162.81,169.86,184.4,183.5,203.97,240,115.96,0.57148,-0.0009443,240,198.7,240,198.7,,
corn,Kanawha,2014,SC,118.93,130.68,168.73,173.55,183.34,185.83,189.53,240,115.46,0.6926,-0.0016553,209.2,187.9,179,186.4,,
corn,Kanawha,2015,SC,117.93,137.75,154.7,160,165.22,160,171.03,240,117.99,0.57709,-0.0017625,163.7,165.2,135.3,163.8,,
corn,Kanawha,2016,SC,122.76,158.02,185.96,223.29,228.69,247.11,244.44,240,120.79,1.05969,-0.0022352,237.1,246.4,214.7,245.3,,
corn,Kanawha,2006,CC,70.31,105.53,134.94,161.37,170.46,175.88,174.53,240,69.1,1.05649,-0.0026238,201.3,175.4,182.3,174.5,,
corn,Kanawha,2007,CC,39.8,66.32,108.34,107.11,103.77,102.73,96.07,240,36.76,1.18461,-0.0052612,112.6,103.4,103.1,103,,
corn,Kanawha,2008,CC,49.56,56.17,87.01,110.81,126.89,124.21,127.47,240,41.7,0.72179,-0.0014836,243.3,129.5,209.6,127.8,,
corn,Kanawha,2009,CC,72.58,99.46,113.75,135.27,136.89,132.14,134.56,240,72.06,0.76301,-0.0023114,165.1,135,143.4,133.9,,
corn,Kanawha,2010,CC,76,94.63,116.38,123.7,139.71,150.27,153.7,240,75.84,0.53283,-0.0008522,240,154.6,240,154.6,,
corn,Kanawha,2011,CC,62.32,106.94,135.23,145.03,144.32,144.04,149.66,240,62.27,1.33449,-0.0053279,125.2,145.8,115.9,145.4,,
corn,Kanawha,2012,CC,58.71,75.73,86.77,91.21,99.38,96.93,112.02,240,61.5,0.31627,-0.0005182,240,107.6,208.7,104.9,,
corn,Kanawha,2013,CC,90.71,112.66,150.87,146.81,166.74,170.62,182.86,240,91.91,0.67185,-0.0012803,240,179.4,223.3,178.1,,
corn,Kanawha,2014,CC,71.66,82.63,100.2,107.69,131.28,145.64,149.74,240,69.68,0.38196,-0.0001356,240,153.5,240,153.5,,
corn,Kanawha,2015,CC,61.32,97.55,120.86,132.56,144.53,162.83,153.62,240,63.79,0.82669,-0.0018414,224.5,156.6,197.3,155.2,,
corn,Kanawha,2016,CC,98.44,140.03,181.99,208.24,223.72,227.88,231.05,240,96.74,1.3029,-0.0031894,204.3,229.8,188.6,229,,
corn,Nashua,2005,SC,104.07,150.99,157.13,190.73,183.98,194.94,189.71,240,106.61,1.01641,-0.0030915,164.4,190.2,148.2,189.3,,
corn,Nashua,2006,SC,120.39,149.58,154.37,166.47,165.17,179.65,175.63,240,124.8,0.46914,-0.0010744,215,176,171.8,173.7,,
corn,Nashua,2007,SC,93.82,133.33,176.83,206.14,221.81,224.53,220.16,240,90.47,1.35894,-0.0034682,195.9,223.6,181.5,222.9,,
corn,Nashua,2008,SC,76.52,110.94,141.18,181.86,209.76,206.6,214.78,240,75.67,0.8657,,155.6,210.4,155.6,210.4,,
corn,Nashua,2009,SC,100.48,130.03,173.17,208.44,209.61,209.45,203.14,240,98.13,0.9119,,120,207.6,120,207.6,,
corn,Nashua,2010,SC,96.54,141.18,155.62,187.62,200.78,199.21,197.09,240,97.57,1.05662,-0.0027388,192.9,199.5,174.6,198.6,,
corn,Nashua,2011,SC,117.59,171.3,195.31,231.35,244.16,243.52,236.46,240,118.25,1.36596,-0.0037785,180.8,241.7,167.5,241,,
corn,Nashua,2012,SC,97.94,142.56,142.97,154.98,172.03,160.45,171.41,240,103.46,0.73754,-0.002152,171.4,166.7,148.1,165.5,,
corn,Nashua,2013,SC,71.89,98.71,152.64,171.72,203.03,199.56,199.16,240,70.73,0.8836,,147,200.6,147,200.6,,
corn,Nashua,2014,SC,63.2,103.71,132.44,158.26,187.19,199.87,200.57,240,62.44,1.07617,-0.0020319,240,203.7,240,203.7,,
corn,Nashua,2015,SC,84.65,124.35,163.07,192.96,227.22,233.57,226.72,240,80.28,1.31212,-0.002828,232,232.5,214.3,231.6,,
corn,Nashua,2016,SC,65.51,120.28,149.07,186.02,210.94,229.13,231.03,240,75.05,0.8915,,173.9,230.1,173.9,230.1,,
corn,Nashua,2005,CC,64.44,86.29,104.95,125.33,151.84,169.82,172.93,240,63.97,0.5314,,205,172.9,205,172.9,,
corn,Nashua,2006,CC,78.13,108.31,134,152.41,149.98,156.73,157.55,240,79.4,0.81914,-0.002107,190,159,170.7,157.8,,
corn,Nashua,2007,CC,48.9,85.76,101.32,157.41,179.66,184.41,187.73,240,43.64,1.13477,-0.0021534,240,192,240,192,,
corn,Nashua,2008,CC,48.15,64.99,87.51,113.22,129.4,148.66,162.42,240,48.62,0.49289,,240,166.9,240,166.9,,
corn,Nashua,2009,CC,54.28,94.74,130.04,163.55,170.57,166.63,168.65,240,51.5,1.32806,-0.0037357,177.8,169.5,164.4,168.9,,
corn,Nashua,2010,CC,67.27,85.5,111.32,146.95,164.19,179.04,186.09,240,61.65,0.79599,-0.0010979,240,189.4,240,189.4,,
corn,Nashua,2011,CC,69.2,112.53,156.26,198.87,210.79,224.32,230.95,240,66.46,1.38984,-0.0029522,235.4,230,218.5,229.2,,
corn,Nashua,2012,CC,64.45,102.03,123.58,144.98,134.21,135.89,137.67,240,64.11,1.11597,-0.0042281,132,137.8,120.1,137.2,,
corn,Nashua,2013,CC,66.66,91.22,107.57,133.35,164.4,174.13,181.67,240,65.12,0.594,,189.9,177.9,189.9,177.9,,
corn,Nashua,2014,CC,47,77.75,104.93,136.31,153.13,172.33,181.64,240,45.53,0.88723,-0.0013111,240,183,240,182.9,,
corn,Nashua,2015,CC,55.68,99.7,157.9,184.81,211.49,213.07,228.4,240,53.18,1.48752,-0.0032351,229.9,224.2,214.4,223.4,,
corn,Nashua,2016,CC,39.69,70.45,106.34,155.73,202.6,202.17,224.78,240,39.62,0.8988,,206,224.8,206,224.8,,
corn,Ames,2000,SC,153.4,,,164.2,,,164.5,240,153.4,0.4418,-0.00393,56.2,165.8,43.5,165.2,170.2,164.4
corn,Ames,2001,SC,124.6,,,172.4,,,169.9,240,124.6,0.9632,-0.00486,99.1,172.3,88.8,171.8,164.9,174.7
corn,Ames,2002,SC,135.3,,,199.2,,,205.1,240,135.64,0.92664,-0.0031609,146.6,203.6,130.8,202.8,181.2,203.2
corn,Ames,2003,SC,135,,,183.2,,,190.8,240,134.99,1.24001,-0.0073953,83.8,187,77.1,186.6,182.8,186.9
corn,Ames,2004,SC,136.34,,,237.23,,,246.53,240,136.34,1.76598,-0.0073859,119.6,241.9,112.8,241.6,215.71,241.95
corn,Ames,2005,SC,132.06,,,189.62,,,200.5,240,133.05,0.83177,-0.0026944,154.4,197.2,135.8,196.3,176.49,196.18
corn,Ames,2006,SC,138.41,,,197.34,,,218.2,240,140.8,0.82008,-0.002367,173.2,211.8,152.1,210.8,188.81,208.33
corn,Ames,2007,SC,115.65,,,182.8,,,198.63,240,117.42,0.86606,-0.0022704,190.7,200,168.7,198.9,166.67,203.29
corn,Ames,2008,SC,102.98,,,218.19,,,247.78,240,102.09,1.22697,-0.0026082,235.2,246.4,216,245.4,162.41,233.63
corn,Ames,2009,SC,97.69,,,202.96,,,220.22,240,99.24,1.51363,-0.0049218,153.8,215.6,143.6,215.1,177.42,214.53
corn,Ames,2010,SC,99.18,,,204.72,,,214.32,240,92.12,1.40355,-0.0041265,170.1,211.5,157.9,210.9,158.21,207.24
corn,Ames,2011,SC,139.95,,,225.49,,,236.09,240,140.45,1.37174,-0.0051623,132.9,231.5,123.2,231.1,206.02,230.97
corn,Ames,2012,SC,129.19,,,209.52,,,197.42,240,129.06,1.21164,-0.0046177,131.2,208.5,120.4,208,184.64,218.45
corn,Ames,2013,SC,95.95,,,144.27,,,157.99,240,97.26,0.59474,-0.0014884,199.8,156.7,166.2,155,131.24,155.37
corn,Ames,2014,SC,123.9,,,195.75,,,207.42,240,123.41,0.90021,-0.0025871,174,201.7,154.7,200.8,166.62,195.44
corn,Ames,2015,SC,124.53,,,224.72,,,225.24,240,124.53,1.63985,-0.0068475,119.7,222.7,112.4,222.3,198.27,218.16
corn,Ames,2016,SC,108.37,,,199.02,,,219.6,240,109.59,1.11594,-0.0029348,190.1,215.7,173.1,214.8,169.25,211.61
corn,Ames,1999,CC,78.1,,,187.2,,,212.1,240,77.45,1.2525,-0.00291,215.5,212.4,198,211.4,140.3,208.9
corn,Ames,2000,CC,76.7,,,152.4,,,153.8,240,76.76,1.0127,-0.00317,159.7,157.6,144,156.9,126.3,161.6
corn,Ames,2001,CC,41.4,,,115.8,,,129.1,240,41.2,0.9113,-0.00249,183.1,124.6,162.9,123.6,86.2,119.6
corn,Ames,2002,CC,72.7,,,166,,,179.3,240,73.37,1.44712,-0.0052661,137.4,172.8,127.9,172.3,143.6,169.7
corn,Ames,2003,CC,66.8,,,140.5,,,149.5,240,65.74,0.86689,-0.0022944,188.9,147.6,167.1,146.5,106.1,144.1
corn,Ames,2004,CC,84.33,,,203.94,,,232.58,240,84.87,1.39218,-0.0032998,211,231.7,195.8,231,157.78,227.41
corn,Ames,2005,CC,45.41,,,151.17,,,161.46,240,45.41,1.69999,-0.006827,124.5,151.2,117.2,150.9,122.82,140.95
corn,Ames,2006,CC,51.54,,,163.24,,,183.81,240,52.54,1.40257,-0.0038142,183.9,181.5,170.8,180.8,125.87,179.85
corn,Ames,2007,CC,80.02,,,173.34,,,192.78,240,81.02,1.14832,-0.0030095,190.8,190.6,174.2,189.7,141.86,188.36
corn,Ames,2008,CC,96.1,,,188.42,,,227.11,240,96,0.90187,-0.0015148,240,225.2,240,225.2,142.47,203.44
corn,Ames,2009,CC,46.8,,,188.91,,,205.91,240,45.9,1.7333,-0.0047028,184.3,205.6,173.7,205.1,130.28,204.31
corn,Ames,2010,CC,58.26,,,172.61,,,199.41,240,54.75,1.2227,-0.0025689,238,200.2,218.5,199.3,109.13,190.53
corn,Ames,2011,CC,92.85,,,207.51,,,213.27,240,93.14,1.6628,-0.0057922,143.5,212.5,134.9,212,173.05,212.74
corn,Ames,2012,CC,60.42,,,185.68,,,191.38,240,60.42,2.2022,-0.0095589,115.2,187.3,110,187,158.14,184.71
corn,Ames,2013,CC,61.81,,,143,,,153.97,240,61.91,1.12154,-0.003688,152.1,147.2,138.5,146.5,116.2,140.59
corn,Ames,2014,CC,58.99,,,175.91,,,196.58,240,56.09,1.25423,-0.0028106,223.1,196,205.3,195.1,112.19,186.6
corn,Ames,2015,CC,51.77,,,182.23,,,201.79,240,50.74,1.53689,-0.0039703,193.6,199.5,181,198.8,125.27,194.46
corn,Ames,2016,CC,55.19,,,197.11,,,212.61,240,54.97,1.84061,-0.0055225,166.6,208.3,157.6,207.9,144.84,203.74
soybean,Lewis,2001,SC,49.42,49.44,47.91,50.71,49.1,49.45,48.84,,,,,,,,,,
soybean,Lewis,2002,SC,18.54,16.1,18.91,17.96,18.02,21.51,20.58,,,,,,,,,,
soybean,Lewis,2003,SC,29.87,29.01,27.74,28.29,31.16,28.36,29.01,,,,,,,,,,
soybean,Lewis,2004,SC,63.72,62.76,65.24,65.55,64.31,64.94,65.01,,,,,,,,,,
soybean,Lewis,2005,SC,56.89,54,53.44,56.77,57.99,57.63,57.31,,,,,,,,,,
soybean,Lewis,2006,SC,61.99,60.54,61.86,65.67,64.21,63.8,64.18,,,,,,,,,,
soybean,Lewis,2007,SC,60.66,62.9,65.91,64.26,65.85,65.89,66.56,,,,,,,,,,
soybean,Lewis,2008,SC,46.92,46.39,47.25,51.77,48.39,47.67,49.03,,,,,,,,,,
soybean,Lewis,2009,SC,75.28,71.37,72.84,72.09,76.33,75.56,76.65,,,,,,,,,,
soybean,Lewis,2010,SC,67.39,65.57,68.31,67.95,71.02,68.33,70.94,,,,,,,,,,
soybean,Lewis,2011,SC,53.57,53.07,51.99,51.98,53.38,55.15,56.19,,,,,,,,,,
soybean,Lewis,2012,SC,31.78,30.38,31.13,29.75,32.71,31.53,34.03,,,,,,,,,,
soybean,Lewis,2013,SC,56.12,57.65,57.84,58.88,55.04,61.11,55.75,,,,,,,,,,
soybean,Lewis,2014,SC,55.44,57.38,55.55,53.66,56.74,58.07,54.84,,,,,,,,,,
soybean,Lewis,2015,SC,49.06,52.28,54.67,52.05,53.66,54.76,54.54,,,,,,,,,,
soybean,Lewis,2016,SC,65.97,72.63,67,69.64,64.83,67.71,65.54,,,,,,,,,,
soybean,McNay,1999,SC,,,,,,,,,,,,,,,,,
soybean,McNay,2000,SC,42.32,38.97,45.38,43.25,41.58,35.74,36.26,,,,,,,,,,
soybean,McNay,2001,SC,34.56,34.48,33.48,33.62,35.37,34.97,34.36,,,,,,,,,,
soybean,McNay,2002,SC,49.44,47.4,49.21,51.25,48.28,50.49,48.8,,,,,,,,,,
soybean,McNay,2003,SC,34.34,33.54,34.35,34.14,32.4,34.26,35.65,,,,,,,,,,
soybean,McNay,2004,SC,73,73.57,75,72.92,75.2,75.32,66.27,,,,,,,,,,
soybean,McNay,2005,SC,58.61,58.45,55.67,57.27,58.17,56.65,58.81,,,,,,,,,,
soybean,McNay,2006,SC,52.42,55.05,53.04,54.22,56.29,56.54,56.1,,,,,,,,,,
soybean,McNay,2007,SC,59.53,58.79,57.69,59.27,58.43,59.19,60.95,,,,,,,,,,
soybean,McNay,2008,SC,34.41,31.59,28.44,34.07,26.71,32.49,35.05,,,,,,,,,,
soybean,McNay,2009,SC,66.14,66.72,60.05,63.06,65.1,61.37,66.27,,,,,,,,,,
soybean,McNay,2010,SC,60.37,51.6,58.29,61.6,51.05,57.32,60.21,,,,,,,,,,
soybean,McNay,2011,SC,49.24,50.66,48.92,50.23,48.95,49.76,49.2,,,,,,,,,,
soybean,McNay,2012,SC,42.45,42.88,42.58,44.95,43.42,45.17,43.17,,,,,,,,,,
soybean,McNay,2013,SC,35.22,32.81,34.36,35.17,34.59,34.92,36.09,,,,,,,,,,
soybean,McNay,2014,SC,53.82,56.38,53.77,53.16,58.21,54.79,58.16,,,,,,,,,,
soybean,McNay,2015,SC,70.09,64.02,65.06,68.48,66.34,65.32,64.31,,,,,,,,,,
soybean,McNay,2016,SC,55.56,61.25,59.22,63.98,63.03,65.41,65.19,,,,,,,,,,
soybean,Crawfordsville,1999,SC,,,,,,,,,,,,,,,,,
soybean,Crawfordsville,2000,SC,46.85,46.89,47.2,48.13,47.49,48.58,48.88,,,,,,,,,,
soybean,Crawfordsville,2001,SC,50.18,49.59,50.43,50.05,50.76,51.87,50.01,,,,,,,,,,
soybean,Crawfordsville,2002,SC,59.93,57.89,58.32,59.36,59.45,59.27,61.65,,,,,,,,,,
soybean,Crawfordsville,2003,SC,42.75,43.18,43.59,43.63,42.86,42.97,43.56,,,,,,,,,,
soybean,Crawfordsville,2004,SC,67.71,65.3,66.86,69.24,66.96,68.21,68.75,,,,,,,,,,
soybean,Crawfordsville,2005,SC,62.32,63.5,61.49,62.24,61.29,62.45,60.9,,,,,,,,,,
soybean,Crawfordsville,2006,SC,61.29,58.77,60.28,61.94,59.69,61.91,62.97,,,,,,,,,,
soybean,Crawfordsville,2007,SC,57.81,56.49,58.72,55.3,58.87,60.09,56.2,,,,,,,,,,
soybean,Crawfordsville,2008,SC,57.57,56.13,57.7,60.4,57.38,60,60.2,,,,,,,,,,
soybean,Crawfordsville,2009,SC,59.48,64.25,64.11,58.76,64.33,64.27,63.26,,,,,,,,,,
soybean,Crawfordsville,2010,SC,43.82,43.19,50.7,48.44,49.19,52.47,51.7,,,,,,,,,,
soybean,Crawfordsville,2011,SC,37.68,40.2,40.83,39.94,46.96,48.47,42.84,,,,,,,,,,
soybean,Crawfordsville,2012,SC,52.76,52.99,53.59,54.19,53.55,53.84,58.15,,,,,,,,,,
soybean,Crawfordsville,2013,SC,32.76,31.69,32.95,34.01,31.63,34.23,33.72,,,,,,,,,,
soybean,Crawfordsville,2014,SC,71.79,67.29,71.1,70.07,72.24,73.01,72.49,,,,,,,,,,
soybean,Crawfordsville,2015,SC,57.04,62.69,53.35,60.97,64.57,64.86,64.12,,,,,,,,,,
soybean,Crawfordsville,2016,SC,33.22,32.33,44.11,41.16,45.7,48.31,46.63,,,,,,,,,,
soybean,Sutherland,2001,SC,45.69,47.59,45.94,45.32,47.16,45.34,46.2,,,,,,,,,,
soybean,Sutherland,2002,SC,32.68,32.22,32.51,32.94,31.77,32.22,34.15,,,,,,,,,,
soybean,Sutherland,2003,SC,49.74,51.75,50.57,51.4,51.67,50.27,50.82,,,,,,,,,,
soybean,Sutherland,2004,SC,,,,,,,,,,,,,,,,,
soybean,Sutherland,2005,SC,68.16,65.62,65.99,66.57,68.23,66.9,65.54,,,,,,,,,,
soybean,Sutherland,2006,SC,63.35,60.05,60.23,60.39,62.19,61.74,61.02,,,,,,,,,,
soybean,Sutherland,2007,SC,67.71,69.63,67.86,71.02,70.04,69.27,67.38,,,,,,,,,,
soybean,Sutherland,2008,SC,64.24,60.19,64.29,60.32,60.83,62.22,64.3,,,,,,,,,,
soybean,Sutherland,2009,SC,57.63,59.31,57.5,59.07,57.94,57.93,59.58,,,,,,,,,,
soybean,Sutherland,2010,SC,67.91,67.84,67.77,68.59,67.42,67.6,68.09,,,,,,,,,,
soybean,Sutherland,2011,SC,64.4,65.5,63.95,64.81,63.79,62.91,62.54,,,,,,,,,,
soybean,Sutherland,2012,SC,58.2,53.19,59.3,51.63,53.27,54.06,55.09,,,,,,,,,,
soybean,Sutherland,2013,SC,73.66,72.39,69.11,71.79,71.49,73.3,71.88,,,,,,,,,,
soybean,Sutherland,2014,SC,64.79,62,62.39,66.73,64.3,65.65,65.16,,,,,,,,,,
soybean,Sutherland,2015,SC,68.7,68.87,68.56,67.74,69.14,68.66,69.52,,,,,,,,,,
soybean,Sutherland,2016,SC,77.54,74.8,85.4,81.6,81.01,82.28,82.34,,,,,,,,,,
soybean,Kanawha,2005,SC,,,,,,,,,,,,,,,,,
soybean,Kanawha,2006,SC,60.19,58.66,59.15,60,56.96,57.2,58.66,,,,,,,,,,
soybean,Kanawha,2007,SC,45.68,48.15,44.56,40.66,45.43,43.08,44.87,,,,,,,,,,
soybean,Kanawha,2008,SC,49.2,49.02,47.37,47,46.39,47.49,47.31,,,,,,,,,,
soybean,Kanawha,2009,SC,55.76,55.21,55.45,54.9,55.89,53.66,55.82,,,,,,,,,,
soybean,Kanawha,2010,SC,52.46,50.04,51.69,51.04,49.2,49.8,51.4,,,,,,,,,,
soybean,Kanawha,2011,SC,51.69,51.33,53.54,50.5,51.87,49.13,52.58,,,,,,,,,,
soybean,Kanawha,2012,SC,44.82,43.51,41.89,43.32,44.39,40.51,44.26,,,,,,,,,,
soybean,Kanawha,2013,SC,42.07,46.52,43.55,41.83,46.23,46.17,40.82,,,,,,,,,,
soybean,Kanawha,2014,SC,49.26,47.91,50.61,48.81,47.82,48.31,52.12,,,,,,,,,,
soybean,Kanawha,2015,SC,49.26,48.74,49.47,49.44,50.88,49.69,49.65,,,,,,,,,,
soybean,Kanawha,2016,SC,57.59,57.35,56.15,58.14,56.3,58.92,59.37,,,,,,,,,,
soybean,Nashua,2005,SC,,,,,,,,,,,,,,,,,
soybean,Nashua,2006,SC,62.95,62.28,63.7,62.82,65.04,63.4,62.3,,,,,,,,,,
soybean,Nashua,2007,SC,66.66,68.06,65.02,65.22,67.36,66.02,65.63,,,,,,,,,,
soybean,Nashua,2008,SC,66.64,64.54,65.37,67.76,66.69,65.8,64.14,,,,,,,,,,
soybean,Nashua,2009,SC,70.1,69.34,64.01,64.86,62.76,63.92,60.44,,,,,,,,,,
soybean,Nashua,2010,SC,70.49,70.29,69.05,68.27,71.16,71.38,70.28,,,,,,,,,,
soybean,Nashua,2011,SC,83.51,81.62,79.84,80.61,81.46,78.86,81.04,,,,,,,,,,
soybean,Nashua,2012,SC,62.84,62.99,64.27,62.54,65.11,61.16,61.77,,,,,,,,,,
soybean,Nashua,2013,SC,72.99,74.81,66.43,65.69,68.59,65.7,67.33,,,,,,,,,,
soybean,Nashua,2014,SC,75.77,74.21,73.26,76.83,77.21,75.6,72.35,,,,,,,,,,
soybean,Nashua,2015,SC,79.81,80.8,76.99,78.8,78.66,76.99,78.72,,,,,,,,,,
soybean,Nashua,2016,SC,79.91,80.15,78.17,78.44,79.02,83.14,78.81,,,,,,,,,,
soybean,Ames,2000,SC,46.32,,,47.94,,,49.15,,,,,,,,,47.66,48.11
soybean,Ames,2001,SC,44.4,,,45.09,,,45.95,,,,,,,,,44.15,46.27
soybean,Ames,2002,SC,49.15,,,49.46,,,51.87,,,,,,,,,51.34,47.2
soybean,Ames,2003,SC,58.21,,,55.49,,,57.29,,,,,,,,,60.25,56.8
soybean,Ames,2004,SC,65.7,,,63.37,,,65.39,,,,,,,,,62.49,66.72
soybean,Ames,2005,SC,69.97,,,71.13,,,68.71,,,,,,,,,70.55,72.28
soybean,Ames,2006,SC,48.99,,,46.65,,,51.63,,,,,,,,,50.15,51.52
soybean,Ames,2007,SC,39.11,,,37.99,,,38.5,,,,,,,,,38.38,38.5
soybean,Ames,2008,SC,56.98,,,57.07,,,59.91,,,,,,,,,56.67,60.67
soybean,Ames,2009,SC,59.18,,,59.9,,,59.83,,,,,,,,,60.34,59.13
soybean,Ames,2010,SC,60.9,,,61.65,,,62.1,,,,,,,,,61.91,63.68
soybean,Ames,2011,SC,54.11,,,56.09,,,55.77,,,,,,,,,56.89,54.7
soybean,Ames,2012,SC,51.92,,,51.26,,,53.81,,,,,,,,,51.33,54.98
soybean,Ames,2013,SC,34.45,,,36.08,,,34.82,,,,,,,,,34.35,31.88
soybean,Ames,2014,SC,41.01,,,45.28,,,50.4,,,,,,,,,43.45,47.01
soybean,Ames,2015,SC,58.06,,,59.57,,,63.6,,,,,,,,,60.65,62.91
soybean,Ames,2016,SC,69.65,,,70.95,,,74.15,,,,,,,,,70.63,72.95
